internal_id,title,raw_description,time,hourly,pay,html_desc,phase
11,Learning a New Language Interview,"Join a 1-on-1 recorded interview (audio only) where you'll describe your experience learning a non-native language, including challenges, motivations, and memorable moments. Microphone and quiet environment required. Label: Interview, Requirements: Microphone, Allowed Devices: Desktop",30,15,7.5,"<p><b>Time:</b> 30 minutes | <b>Pay:</b> $7.50 <b>($15.00/hr)</b><br><b>Label:</b> Interview | <b>Requirements:</b> Microphone | <b>Allowed Devices:</b> Desktop<br>Join a 1-on-1 recorded interview (audio only) where you'll describe your experience learning a non-native language, including challenges, motivations, and memorable moments. Microphone and quiet environment required.</p>",1
12,Product comparison survey with written justifications,"You will view short descriptions and images of similar products (for example, two different headphones or coffee makers), choose which one you would buy, and briefly explain why in a sentence or two. The survey includes several such comparisons plus a few questions about your shopping habits, and it is completed entirely online with no audio, camera, or software download needed. Label: AI task, Requirements: Camera, Audio, Software download, Allowed Devices: Mobile, Tablet, Desktop",30,12,6,"<p><b>Time:</b> 30 minutes | <b>Pay:</b> $6.00 <b>($12.00/hr)</b><br><b>Label:</b> AI task | <b>Requirements:</b> Camera, Audio, Software download | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>You will view short descriptions and images of similar products (for example, two different headphones or coffee makers), choose which one you would buy, and briefly explain why in a sentence or two. The survey includes several such comparisons plus a few questions about your shopping habits, and it is completed entirely online with no audio, camera, or software download needed.</p>",1
13,Review a Short Fiction Piece,"Read a short story and answer questions about its pacing, structure, and character development. You'll also give brief written feedback on how engaging the story was. Label: Writing, Requirements: None, Allowed Devices: Desktop",35,12,7,"<p><b>Time:</b> 35 minutes | <b>Pay:</b> $7.00 <b>($12.00/hr)</b><br><b>Label:</b> Writing | <b>Requirements:</b> None | <b>Allowed Devices:</b> Desktop<br>Read a short story and answer questions about its pacing, structure, and character development. You'll also give brief written feedback on how engaging the story was.</p>",1
14,Watch and Summarize a Video,"Watch a 20-minute lecture segment about the different parts of an atom (e.g., electrons, protons, etc.) and distill the key points into a few summary paragraphs. Label: Writing, Requirements: Audio, Allowed Devices: Desktop",35,12.5,7.291666667,"<p><b>Time:</b> 35 minutes | <b>Pay:</b> $7.30 <b>($12.50/hr)</b><br><b>Label:</b> Writing | <b>Requirements:</b> Audio | <b>Allowed Devices:</b> Desktop<br>Watch a 20-minute lecture segment about the different parts of an atom (e.g., electrons, protons, etc.) and distill the key points into a few summary paragraphs.</p>",1
15,Interview: Share a Travel Mishap or Delay,"In a voice interview, describe a travel delay, cancellation, or mishap and how you responded. We're collecting stories for a study on adaptation and planning. Label: Interview, Requirements: Microphone, Allowed Devices: Desktop",10,10,1.666666667,"<p><b>Time:</b> 10 minutes | <b>Pay:</b> $1.70 <b>($10.00/hr)</b><br><b>Label:</b> Interview | <b>Requirements:</b> Microphone | <b>Allowed Devices:</b> Desktop<br>In a voice interview, describe a travel delay, cancellation, or mishap and how you responded. We're collecting stories for a study on adaptation and planning.</p>",1
16,Share a Voice Recording of a Tongue-Twister,"Record yourself saying three tongue-twisters clearly and quickly (provided in the task). Make sure background noise is minimal and pronunciation is as accurate as possible. Label: AI task, Requirements: Microphone, Allowed Devices: Mobile, Tablet, Desktop",5,16.5,1.375,"<p><b>Time:</b> 5 minutes | <b>Pay:</b> $1.40 <b>($16.50/hr)</b><br><b>Label:</b> AI task | <b>Requirements:</b> Microphone | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>Record yourself saying three tongue-twisters clearly and quickly (provided in the task). Make sure background noise is minimal and pronunciation is as accurate as possible.</p>",1
17,Record Neighborhood Ambient Noise,"Use your phone or computer microphone to record ambient outdoor sound from your location (no talking). You'll also answer a few questions about time, location type, and weather. Label: Annotation, Requirements: Microphone, Allowed Devices: Mobile, Tablet, Desktop",5,17.5,1.458333333,"<p><b>Time:</b> 5 minutes | <b>Pay:</b> $1.50 <b>($17.50/hr)</b><br><b>Label:</b> Annotation | <b>Requirements:</b> Microphone | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>Use your phone or computer microphone to record ambient outdoor sound from your location (no talking). You'll also answer a few questions about time, location type, and weather.</p>",1
18,Share the Contents of Your Refrigerator,"Open your refrigerator and take a clear photo of what's inside right now, then answer questions about your grocery habits and food choices. Images will be used to study food storage and organization. Label: Survey, Requirements: Camera, Allowed Devices: Mobile, Tablet",10,14.5,2.416666667,"<p><b>Time:</b> 10 minutes | <b>Pay:</b> $2.40 <b>($14.50/hr)</b><br><b>Label:</b> Survey | <b>Requirements:</b> Camera | <b>Allowed Devices:</b> Mobile, Tablet<br>Open your refrigerator and take a clear photo of what's inside right now, then answer questions about your grocery habits and food choices. Images will be used to study food storage and organization.</p>",1
19,Ultra-brief reaction-time keyboard test,"You will complete a quick series of reaction-time trials in your browser where you press specific keys as soon as shapes or colors appear on the screen, with occasional 'catch' trials where you must withhold a response. After the block of trials, you'll answer a few quick questions about your alertness and recent sleep; this is a simple behavioral task that runs in a standard browser and does not require audio, camera, or any software download. Label: Game, Requirements: Camera, Allowed Devices: Mobile, Tablet, Desktop",5,17,1.416666667,"<p><b>Time:</b> 5 minutes | <b>Pay:</b> $1.40 <b>($17.00/hr)</b><br><b>Label:</b> Game | <b>Requirements:</b> Camera | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>You will complete a quick series of reaction-time trials in your browser where you press specific keys as soon as shapes or colors appear on the screen, with occasional 'catch' trials where you must withhold a response. After the block of trials, you'll answer a few quick questions about your alertness and recent sleep; this is a simple behavioral task that runs in a standard browser and does not require audio, camera, or any software download.</p>",1
20,Share Your Phone's Layout,"Upload a screenshot of your phone's home screen (with personal info removed) and answer a few short questions about how you organize your apps. We're studying smartphone interface personalization. Label: Survey, Requirements: Camera, Allowed Devices: Mobile, Tablet",10,17,2.833333333,"<p><b>Time:</b> 10 minutes | <b>Pay:</b> $2.80 <b>($17.00/hr)</b><br><b>Label:</b> Survey | <b>Requirements:</b> Camera | <b>Allowed Devices:</b> Mobile, Tablet<br>Upload a screenshot of your phone's home screen (with personal info removed) and answer a few short questions about how you organize your apps. We're studying smartphone interface personalization.</p>",1
21,Mobile app prototype usability test (note-taking app),"You will install a prototype note-taking mobile app on your phone, then follow step-by-step instructions to create notes, organize them into folders, and test search and tagging features while reporting any confusing or broken interactions. After completing the tasks, you will fill out a short usability questionnaire; this task requires a software download (mobile app) but does not use your camera or microphone. Label: Annotation, Requirements: Camera, Microphone, Software download, Allowed Devices: Mobile",45,22,16.5,"<p><b>Time:</b> 45 minutes | <b>Pay:</b> $16.50 <b>($22.00/hr)</b><br><b>Label:</b> Annotation | <b>Requirements:</b> Camera, Microphone, Software download | <b>Allowed Devices:</b> Mobile<br>You will install a prototype note-taking mobile app on your phone, then follow step-by-step instructions to create notes, organize them into folders, and test search and tagging features while reporting any confusing or broken interactions. After completing the tasks, you will fill out a short usability questionnaire; this task requires a software download (mobile app) but does not use your camera or microphone.</p>",1
22,Image annotation task for training an AI system,"You will see photographs of everyday scenes (e.g., kitchens, offices, streets) and will be asked to draw simple bounding boxes around specific objects (such as 'mugs, ' 'laptops, ' or 'traffic lights') and assign the correct label from a list. The interface may feel slightly technical and repetitive, but no audio, camera, or software download is required beyond your web browser. Label: Annotation, Requirements: Camera, Software download, Allowed Devices: Desktop",45,15.5,11.625,"<p><b>Time:</b> 45 minutes | <b>Pay:</b> $11.60 <b>($15.50/hr)</b><br><b>Label:</b> Annotation | <b>Requirements:</b> Camera, Software download | <b>Allowed Devices:</b> Desktop<br>You will see photographs of everyday scenes (e.g., kitchens, offices, streets) and will be asked to draw simple bounding boxes around specific objects (such as 'mugs, ' 'laptops, ' or 'traffic lights') and assign the correct label from a list. The interface may feel slightly technical and repetitive, but no audio, camera, or software download is required beyond your web browser.</p>",1
23,Short audio diary about today's mood,"You will record one brief audio entry (about 2-3 minutes) describing how you feel today and what influenced your mood, using an in-browser recorder with simple prompts. Afterward, you will answer a handful of multiple-choice questions about sleep, stress, and social interactions; this study uses your microphone (audio) but does not require camera access or any software download. Label: Survey, Requirements: Camera, Microphone, Allowed Devices: Mobile, Tablet, Desktop",15,14,3.5,"<p><b>Time:</b> 15 minutes | <b>Pay:</b> $3.50 <b>($14.00/hr)</b><br><b>Label:</b> Survey | <b>Requirements:</b> Camera, Microphone | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>You will record one brief audio entry (about 2-3 minutes) describing how you feel today and what influenced your mood, using an in-browser recorder with simple prompts. Afterward, you will answer a handful of multiple-choice questions about sleep, stress, and social interactions; this study uses your microphone (audio) but does not require camera access or any software download.</p>",1
24,In-depth attitudes survey about social and political issues,"You will complete a detailed survey with multiple sections covering your views on social, economic, and political topics, including several matrix-style questions and longer open-ended responses where you can explain your reasoning. The study is relatively long and cognitively demanding but entirely text-based, requiring no audio, camera, or software downloads. Label: AI task, Requirements: Camera, Software download, Allowed Devices: Mobile, Tablet, Desktop",55,15,13.75,"<p><b>Time:</b> 55 minutes | <b>Pay:</b> $13.80 <b>($15.00/hr)</b><br><b>Label:</b> AI task | <b>Requirements:</b> Camera, Software download | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>You will complete a detailed survey with multiple sections covering your views on social, economic, and political topics, including several matrix-style questions and longer open-ended responses where you can explain your reasoning. The study is relatively long and cognitively demanding but entirely text-based, requiring no audio, camera, or software downloads.</p>",1
25,Describe a Public Speaking Experience,"Write a narrative about a time you spoke in front of a group, what you said, how it felt, and what you learned. This could be formal (a speech) or informal (a toast, a presentation, etc.). Label: Writing, Requirements: None, Allowed Devices: Desktop",10,13,2.166666667,"<p><b>Time:</b> 10 minutes | <b>Pay:</b> $2.20 <b>($13.00/hr)</b><br><b>Label:</b> Writing | <b>Requirements:</b> None | <b>Allowed Devices:</b> Desktop<br>Write a narrative about a time you spoke in front of a group, what you said, how it felt, and what you learned. This could be formal (a speech) or informal (a toast, a presentation, etc.).</p>",1
26,Video interview about parenting and screen time,"You will join a scheduled video call with a trained interviewer who will ask open-ended questions about how children in your household (if any) use phones, tablets, or computers, including routines, rules, and challenges. The conversation will be recorded for research purposes; this task requires both camera and microphone access, a quiet environment, and a stable internet connection. Label: Interview, Requirements: Camera, Microphone, Allowed Devices: Mobile, Tablet, Desktop",40,13,8.666666667,"<p><b>Time:</b> 40 minutes | <b>Pay:</b> $8.70 <b>($13.00/hr)</b><br><b>Label:</b> Interview | <b>Requirements:</b> Camera, Microphone | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>You will join a scheduled video call with a trained interviewer who will ask open-ended questions about how children in your household (if any) use phones, tablets, or computers, including routines, rules, and challenges. The conversation will be recorded for research purposes; this task requires both camera and microphone access, a quiet environment, and a stable internet connection.</p>",1
27,Rate How Funny Jokes Are,"You'll read short jokes or one-liners and rate each on a humor scale. Some jokes are intentionally awkward or dry---your honest reaction is what we're after. Label: Survey, Requirements: None, Allowed Devices: Mobile, Tablet, Desktop",10,8.5,1.416666667,"<p><b>Time:</b> 10 minutes | <b>Pay:</b> $1.40 <b>($8.50/hr)</b><br><b>Label:</b> Survey | <b>Requirements:</b> None | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>You'll read short jokes or one-liners and rate each on a humor scale. Some jokes are intentionally awkward or dry---your honest reaction is what we're after.</p>",1
28,Identify Logical Fallacies in Arguments,"Read short argumentative passages and label whether they contain logical fallacies, then briefly explain your reasoning. This task requires critical thinking and close reading. Label: Survey, Requirements: None, Allowed Devices: Desktop",45,13.5,10.125,"<p><b>Time:</b> 45 minutes | <b>Pay:</b> $10.10 <b>($13.50/hr)</b><br><b>Label:</b> Survey | <b>Requirements:</b> None | <b>Allowed Devices:</b> Desktop<br>Read short argumentative passages and label whether they contain logical fallacies, then briefly explain your reasoning. This task requires critical thinking and close reading.</p>",1
29,Click Test for Interface Timing,"Click on a moving button that jumps around the screen to help us measure reaction time and latency on different browsers. This task is best completed with a mouse. Label: AI task, Requirements: None, Allowed Devices: Desktop",15,14,3.5,<p><b>Time:</b> 15 minutes | <b>Pay:</b> $3.50 <b>($14.00/hr)</b><br><b>Label:</b> AI task | <b>Requirements:</b> None | <b>Allowed Devices:</b> Desktop<br>Click on a moving button that jumps around the screen to help us measure reaction time and latency on different browsers. This task is best completed with a mouse.</p>,1
30,Stress Management Techniques Interview,"Participate in a recorded audio interview discussing your experiences and personal methods for handling stress in daily life. Open-ended questions encourage detailed responses about effective and ineffective strategies. Label: Interview, Requirements: Microphone, Allowed Devices: Mobile, Tablet, Desktop",35,9.5,5.541666667,"<p><b>Time:</b> 35 minutes | <b>Pay:</b> $5.50 <b>($9.50/hr)</b><br><b>Label:</b> Interview | <b>Requirements:</b> Microphone | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>Participate in a recorded audio interview discussing your experiences and personal methods for handling stress in daily life. Open-ended questions encourage detailed responses about effective and ineffective strategies.</p>",1
31,Long-form diary-style survey about health habits,"You will answer a series of questions about your sleep, exercise, and eating habits over the past month, including several open-ended prompts where you can describe routines or challenges in more detail. The survey is relatively long and may feel a bit repetitive in places, but it is fully text-based and does not require audio, camera, or software downloads. Label: Writing, Requirements: Camera, Allowed Devices: Mobile, Tablet, Desktop",55,9.5,8.708333333,"<p><b>Time:</b> 55 minutes | <b>Pay:</b> $8.70 <b>($9.50/hr)</b><br><b>Label:</b> Writing | <b>Requirements:</b> Camera | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>You will answer a series of questions about your sleep, exercise, and eating habits over the past month, including several open-ended prompts where you can describe routines or challenges in more detail. The survey is relatively long and may feel a bit repetitive in places, but it is fully text-based and does not require audio, camera, or software downloads.</p>",1
32,Vote on the Best Pet Photo,"You'll see adorable pet photos submitted by participants and choose the one you find cutest. Then answer one quick question about what influenced your decision. Label: Survey, Requirements: None, Allowed Devices: Mobile, Tablet, Desktop",5,18,1.5,"<p><b>Time:</b> 5 minutes | <b>Pay:</b> $1.50 <b>($18.00/hr)</b><br><b>Label:</b> Survey | <b>Requirements:</b> None | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>You'll see adorable pet photos submitted by participants and choose the one you find cutest. Then answer one quick question about what influenced your decision.</p>",1
33,Rank Color Gradients from Light to Dark,"You'll see twenty square swatches of a single-hue gradient on screen and drag-and-drop them into order from dimmest (lowest luminance) to brightest (highest luminance). You'll repeat this sorting exercise multiple times, each time with a newly generated monochromatic palette so we can measure both accuracy and consistency across rounds. Label: Survey, Requirements: None, Allowed Devices: Desktop",45,9,6.75,"<p><b>Time:</b> 45 minutes | <b>Pay:</b> $6.80 <b>($9.00/hr)</b><br><b>Label:</b> Survey | <b>Requirements:</b> None | <b>Allowed Devices:</b> Desktop<br>You'll see twenty square swatches of a single-hue gradient on screen and drag-and-drop them into order from dimmest (lowest luminance) to brightest (highest luminance). You'll repeat this sorting exercise multiple times, each time with a newly generated monochromatic palette so we can measure both accuracy and consistency across rounds.</p>",1
34,Travel itinerary comparison and decision-making task,"You will compare pairs of weekend trip itineraries (with different combinations of activities, travel times, and costs) and choose which one you would prefer, explaining your choice in a sentence or two when prompted. You'll then rate how relaxing or stressful each option feels on simple scales; this is a scenario-based survey that runs in your browser and requires no audio, camera, or software download. Label: AI task, Requirements: Camera, Software download, Allowed Devices: Mobile, Tablet, Desktop",20,24,8,"<p><b>Time:</b> 20 minutes | <b>Pay:</b> $8.00 <b>($24.00/hr)</b><br><b>Label:</b> AI task | <b>Requirements:</b> Camera, Software download | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>You will compare pairs of weekend trip itineraries (with different combinations of activities, travel times, and costs) and choose which one you would prefer, explaining your choice in a sentence or two when prompted. You'll then rate how relaxing or stressful each option feels on simple scales; this is a scenario-based survey that runs in your browser and requires no audio, camera, or software download.</p>",1
35,Rate Facial Expressions,"Look at headshots showing people expressing different emotions and decide which emotion is most strongly conveyed. Some faces are digitally altered to test perception. Label: Annotation, Requirements: None, Allowed Devices: Desktop",10,10.5,1.75,<p><b>Time:</b> 10 minutes | <b>Pay:</b> $1.80 <b>($10.50/hr)</b><br><b>Label:</b> Annotation | <b>Requirements:</b> None | <b>Allowed Devices:</b> Desktop<br>Look at headshots showing people expressing different emotions and decide which emotion is most strongly conveyed. Some faces are digitally altered to test perception.</p>,1
36,Compare Weather Apps,"Try out two different mobile weather apps by looking up a week's forecast and navigating their menus. Then complete a comparison survey on clarity, usefulness, and design. Label: Survey, Requirements: Software download, Allowed Devices: Mobile, Tablet",30,11.5,5.75,"<p><b>Time:</b> 30 minutes | <b>Pay:</b> $5.80 <b>($11.50/hr)</b><br><b>Label:</b> Survey | <b>Requirements:</b> Software download | <b>Allowed Devices:</b> Mobile, Tablet<br>Try out two different mobile weather apps by looking up a week's forecast and navigating their menus. Then complete a comparison survey on clarity, usefulness, and design.</p>",1
37,Critique a User Manual,"Read a user manual for a household device and identify unclear or overly technical sections. You'll also suggest edits to improve its readability. Label: Writing, Requirements: None, Allowed Devices: Desktop",50,10.5,8.75,<p><b>Time:</b> 50 minutes | <b>Pay:</b> $8.80 <b>($10.50/hr)</b><br><b>Label:</b> Writing | <b>Requirements:</b> None | <b>Allowed Devices:</b> Desktop<br>Read a user manual for a household device and identify unclear or overly technical sections. You'll also suggest edits to improve its readability.</p>,1
38,Tag Product Photos,"You'll be shown awkward or low-quality product images and need to categorize them (e.g., too blurry, off-center, bad lighting). You will also describe what you see in the image in text. Label: Annotation, Requirements: None, Allowed Devices: Desktop",40,9.5,6.333333333,"<p><b>Time:</b> 40 minutes | <b>Pay:</b> $6.30 <b>($9.50/hr)</b><br><b>Label:</b> Annotation | <b>Requirements:</b> None | <b>Allowed Devices:</b> Desktop<br>You'll be shown awkward or low-quality product images and need to categorize them (e.g., too blurry, off-center, bad lighting). You will also describe what you see in the image in text.</p>",1
39,Word Association Puzzle Game,"Connect related words in this creative thinking challenge, where you'll be given clues like (cold + box = ?) and must identify the target word (e.g., freezer). We will announce the participants who correctly answer the most words. Label: AI task, Requirements: None, Allowed Devices: Mobile, Tablet, Desktop",20,10,3.333333333,"<p><b>Time:</b> 20 minutes | <b>Pay:</b> $3.30 <b>($10.00/hr)</b><br><b>Label:</b> AI task | <b>Requirements:</b> None | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>Connect related words in this creative thinking challenge, where you'll be given clues like (cold + box = ?) and must identify the target word (e.g., freezer). We will announce the participants who correctly answer the most words.</p>",1
40,Share Your Favorite Book,"Upload a photo of a book you own or love and the explain why you'd recommend it to others. This task blends visual and personal elements for a collaborative library curation. Label: Writing, Requirements: Camera, Allowed Devices: Mobile, Tablet, Desktop",15,11,2.75,"<p><b>Time:</b> 15 minutes | <b>Pay:</b> $2.80 <b>($11.00/hr)</b><br><b>Label:</b> Writing | <b>Requirements:</b> Camera | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>Upload a photo of a book you own or love and the explain why you'd recommend it to others. This task blends visual and personal elements for a collaborative library curation.</p>",1
41,Cooking instructions rewriting and clarity rating task,"You will read short, slightly messy cooking instructions (e.g., copied from blogs or handwritten recipes) and rewrite them into clear, step-by-step directions that a beginner could follow, paying attention to timing, measurements, and safety. After each rewrite, you'll rate how confident you are that someone else could successfully cook the dish; this is a writing/AI-support task done entirely in your browser with no audio, camera, or software download. Label: Writing, Requirements: Camera, Software download, Allowed Devices: Mobile, Tablet, Desktop",55,10.5,9.625,"<p><b>Time:</b> 55 minutes | <b>Pay:</b> $9.60 <b>($10.50/hr)</b><br><b>Label:</b> Writing | <b>Requirements:</b> Camera, Software download | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>You will read short, slightly messy cooking instructions (e.g., copied from blogs or handwritten recipes) and rewrite them into clear, step-by-step directions that a beginner could follow, paying attention to timing, measurements, and safety. After each rewrite, you'll rate how confident you are that someone else could successfully cook the dish; this is a writing/AI-support task done entirely in your browser with no audio, camera, or software download.</p>",1
42,Short opinion survey with a few writing questions,"You will answer questions about your reactions to several everyday scenarios (e.g., waiting in long lines, dealing with customer service), choosing from multiple-choice options and occasionally writing a brief explanation of how you'd respond. The study is fairly light in content and can be completed quickly in your browser with no audio, camera, or software download required. Label: AI task, Requirements: Camera, Software download, Allowed Devices: Mobile, Tablet, Desktop",25,10.5,4.375,"<p><b>Time:</b> 25 minutes | <b>Pay:</b> $4.40 <b>($10.50/hr)</b><br><b>Label:</b> AI task | <b>Requirements:</b> Camera, Software download | <b>Allowed Devices:</b> Mobile, Tablet, Desktop<br>You will answer questions about your reactions to several everyday scenarios (e.g., waiting in long lines, dealing with customer service), choosing from multiple-choice options and occasionally writing a brief explanation of how you'd respond. The study is fairly light in content and can be completed quickly in your browser with no audio, camera, or software download required.</p>",1
43,Sleep Patterns Diary Writing,"Complete a reflection: rate last night's sleep quality, outline your typical bedtime routine, list any disturbances, and briefly describe any dreams. Label: Writing, Requirements: None, Allowed Devices: Tablet, Desktop",25,15,6.25,"<p><b>Time:</b> 25 minutes | <b>Pay:</b> $6.20 <b>($15.00/hr)</b><br><b>Label:</b> Writing | <b>Requirements:</b> None | <b>Allowed Devices:</b> Tablet, Desktop<br>Complete a reflection: rate last night's sleep quality, outline your typical bedtime routine, list any disturbances, and briefly describe any dreams.</p>",1
